profile,replay_run_id,plan_sha256,worker_plan_sha256,source_step_index,source_step_id,segment_index_zero_based,event_indices_zero_based,planned_start_s,planned_end_s,actual_start_sim_time,actual_end_sim_time,servo_targets,measured_servo_positions_at_transition,servo_errors,effective_tolerance_deg,recorded_servo_residual_deg,legacy_missing_endpoint,servo_measured_average_velocity_deg_s,sampled_joint_velocity,wheel_target_rad_s,wheel_duration_s,contact_ground_state,completion_extension_s,progress_improvement,gap_reason,stop_reason,last_error
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,10,step_010_recorded_height_050mm_dur_36.80s,39,[47],52.00599999995452,52.00599999995452,59.016666666663966,59.01666666666396,{},{},{},1.0,{},False,0.0,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.0,complete,none,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,11,step_011_recorded_height_050mm_dur_20.00s,40,"[48,49,50,51,52,53,54,55,56]",52.00599999995452,53.405999999953245,59.016666666663966,60.48333333333054,"{""front_left_hip"":28.1,""front_left_knee"":-8.1,""front_right_hip"":3.7,""front_right_knee"":-10.2,""rear_left_hip"":1.6,""rear_left_knee"":0.0,""rear_right_hip"":0.0,""rear_right_knee"":0.0}","{""front_left_hip"":27.969286423436166,""front_left_knee"":-7.991444775913028,""front_right_hip"":3.3241001385083475,""front_right_knee"":-10.382433473305307,""rear_left_hip"":1.6900540689090349,""rear_left_knee"":0.23665827739663298,""rear_right_hip"":-0.03578520201112151,""rear_right_knee"":-0.12669770791695562}","{""front_left_hip"":-0.13071357656383498,""front_left_knee"":0.10855522408697205,""front_right_hip"":-0.37589986149165266,""front_right_knee"":-0.18243347330530746,""rear_left_hip"":0.09005406890903478,""rear_left_knee"":0.23665827739663298,""rear_right_hip"":-0.03578520201112151,""rear_right_knee"":-0.12669770791695562}",1.0,{},True,23.795454545455897,null,"{""front_left_ankle"":0.0,""front_right_ankle"":-2.09,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",1.3999999999987267,{},0.06666666666785659,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,11,step_011_recorded_height_050mm_dur_20.00s,41,[57],53.405999999953245,53.405999999953245,60.48333333333055,60.48333333333054,{},{},{},1.0,{},False,0.0,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.0,complete,none,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,42,[58],53.405999999953245,53.43866666661991,60.48333333333055,60.61666666666387,"{""rear_right_knee"":-4.9}","{""rear_right_knee"":-5.572839865341464}","{""rear_right_knee"":-0.672839865341464}",1.0,{},True,36.75000000000209,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.10066666666665908,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,43,[59],53.43866666661991,53.579999999953245,60.616666666663875,60.88333333333052,"{""rear_right_knee"":-26.1}","{""rear_right_knee"":-26.298260343341973}","{""rear_right_knee"":-0.19826034334197118}",1.0,{},True,79.50000000000452,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.12533333333331817,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,44,[60],53.579999999953245,53.65799999995325,60.883333333330526,61.08333333333051,"{""rear_right_knee"":-37.8}","{""rear_right_knee"":-37.12347226999829}","{""rear_right_knee"":0.676527730001709}",1.0,{},True,58.500000000003304,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.12199999999998866,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,45,[61],53.65799999995325,53.67199999995325,61.083333333330515,61.14999999999717,"{""rear_right_knee"":-39.9}","{""rear_right_knee"":-40.28498981802205}","{""rear_right_knee"":-0.38498981802204923}",1.0,{},True,31.500000000001812,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.052666666666662865,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,46,[62],53.67199999995325,53.67866666661992,61.14999999999718,61.21666666666383,"{""rear_right_knee"":-40.9}","{""rear_right_knee"":-41.363884166932465}","{""rear_right_knee"":-0.46388416693246626}",1.0,{},True,15.000000000000853,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.05999999999999621,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,47,[63],53.67866666661992,53.68199999995325,61.21666666666384,61.283333333330496,"{""rear_right_hip"":-0.5}","{""rear_right_hip"":-0.4858387538874991}","{""rear_right_hip"":0.014161246112500914}",1.0,{},True,7.500000000000426,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.06333333333332955,complete,servo_completion_extension,,
fast,6439f49ffaff4445a975d8ed3053f976,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,1d58ecc8a6ac8ded4f8b228fbb176a3ac2f4c821ad56fcb588c9f3ed2d7566dd,12,step_012_recorded_height_050mm_dur_12.40s,48,[64],53.68199999995325,53.72466666661992,61.2833333333305,61.41666666666382,"{""rear_right_hip"":-6.9}","{""rear_right_hip"":-7.649642049678112}","{""rear_right_hip"":-0.749642049678112}",1.0,{},True,48.000000000002736,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.09066666666665908,complete,servo_completion_extension,,
