phase,profile,replay_run_id,last_completed_step,last_started_step,last_completed_segment_zero_based,last_started_segment_zero_based,events_sent,event_count,segment_count,stop_reason,offending_joint,requested_command_deg,expected_actual_deg,measured_actual_deg,error_deg,tolerance_deg,stalled_duration_s,last_error,final_result,operation
before,raw,48ef0fdcf7e24c1aa5b239700a4cf9cc,13,14,55,56,81,96,64,actuator_limit,rear_right_knee,-40.9,41.11524399350242,41.40520439016967,0.28996039666725437,1.000000,0.800,actuator_limit: servo target did not improve for 0.800s sim; step=14 segment=56 joint=rear_right_knee requested_command_deg=-40.9 expected_actual_deg=41.11524399350242 measured_actual_deg=41.40520439016967 error_deg=0.28996039666725437 max_error_deg=0.289960 tolerance_deg=1.000000,FAIL,IDLE
after,raw,5d60b3f96f014fa9a9544d7b033b5400,16,16,63,64,96,96,64,complete,,,,,,,,,PASS,IDLE
before,fast,8f09345af07a4cc9b5782cd2c6f075a0,13,14,55,56,81,96,64,actuator_limit,rear_left_hip,1.6,-1.7794263347525243,-1.634603646931802,0.14482268782072238,1.000000,0.800,actuator_limit: servo target did not improve for 0.800s sim; step=14 segment=56 joint=rear_left_hip requested_command_deg=1.6 expected_actual_deg=-1.7794263347525243 measured_actual_deg=-1.634603646931802 error_deg=0.14482268782072238 max_error_deg=0.144823 tolerance_deg=1.000000,FAIL,IDLE
after,fast,6439f49ffaff4445a975d8ed3053f976,16,16,63,64,96,96,64,complete,,,,,,,,,PASS,IDLE
