attempt,selected_step,source_step,source_field,current_pose,home_pose,expected_previous_pose,restored_measured_pose,expected_vs_current_joint_max_rad,expected_vs_home_joint_max_rad,root_error_m,orientation_error_deg,servo_joint_max_error_deg,wheel_joint_max_error_rad,verified,first_playback_step,represented_steps,stop_reason
1,2,1,sim_state_after,"{""joint_pos"":[[-0.11945889890193939,-0.023905422538518906,-0.004107317887246609,-0.09373115748167038,0.009196911007165909,0.003896053647622466,-0.0016947225667536259,-0.013005675747990608,0.058686282485723495,0.038626834750175476,0.07988596707582474,0.003193330718204379]],""root_pose"":[[0.014678188599646091,-0.004046149551868439,0.10526860505342484,0.9996986985206604,0.014945248141884804,-0.019448360428214073,0.0009884602623060346]]}","{""joint_pos"":[[0.0025632481556385756,-0.0014971315395087004,-0.0057388367131352425,-0.007582415360957384,-0.006355504039674997,-0.004548851400613785,0.010646665468811989,0.011185728944838047,-0.02444860339164734,0.03641589358448982,0.04121813178062439,-0.04840335622429848]],""root_pose"":[[-0.0037597045302391052,-0.000992119312286377,0.09909854084253311,0.9999809265136719,-1.2180071280454285e-05,-0.005999052431434393,0.0015250095166265965]]}","{""joint_pos"":[[0.08647006005048752,0.005696365609765053,-0.016449978575110435,0.0014186573680490255,0.0004907626425847411,-0.007280073128640652,0.01597089320421219,0.0022240353282541037,-0.02545914053916931,0.03441958129405975,0.08523404598236084,-0.06736186891794205]],""root_pose"":[[-0.004409408196806908,-0.00038076192140579224,0.0970376655459404,0.9999862909317017,-0.00319076725281775,-0.003868676023557782,0.0015525968046858907]]}","{""joint_pos"":[[0.08713990449905396,0.005811376962810755,-0.016544261947274208,0.0015875751851126552,0.0004873580182902515,-0.00720977084711194,0.015957387164235115,0.0023232586681842804,-0.02545962668955326,0.03346417844295502,0.08740103244781494,-0.06795937567949295]],""root_pose"":[[-0.004487022757530212,-0.0003754347562789917,0.09701164066791534,0.9999863505363464,-0.0032259824220091105,-0.003826565109193325,0.0015543767949566245]]}",0.2059289589524269,0.08390681189484894,8.20347060747995e-05,0.006293788153907745,0.038379259833124776,0.0021669864654541016,True,2,[2],complete
2,2,1,sim_state_after,"{""joint_pos"":[[-0.11945889890193939,-0.023905422538518906,-0.004107317887246609,-0.09373115748167038,0.009196911007165909,0.003896053647622466,-0.0016947225667536259,-0.013005675747990608,0.058686282485723495,0.038626834750175476,0.07988596707582474,0.003193330718204379]],""root_pose"":[[0.014678188599646091,-0.004046149551868439,0.10526860505342484,0.9996986985206604,0.014945248141884804,-0.019448360428214073,0.0009884602623060346]]}","{""joint_pos"":[[0.0025632481556385756,-0.0014971315395087004,-0.0057388367131352425,-0.007582415360957384,-0.006355504039674997,-0.004548851400613785,0.010646665468811989,0.011185728944838047,-0.02444860339164734,0.03641589358448982,0.04121813178062439,-0.04840335622429848]],""root_pose"":[[-0.0037597045302391052,-0.000992119312286377,0.09909854084253311,0.9999809265136719,-1.2180071280454285e-05,-0.005999052431434393,0.0015250095166265965]]}","{""joint_pos"":[[0.08647006005048752,0.005696365609765053,-0.016449978575110435,0.0014186573680490255,0.0004907626425847411,-0.007280073128640652,0.01597089320421219,0.0022240353282541037,-0.02545914053916931,0.03441958129405975,0.08523404598236084,-0.06736186891794205]],""root_pose"":[[-0.004409408196806908,-0.00038076192140579224,0.0970376655459404,0.9999862909317017,-0.00319076725281775,-0.003868676023557782,0.0015525968046858907]]}","{""joint_pos"":[[0.08713990449905396,0.005811376962810755,-0.016544261947274208,0.0015875751851126552,0.0004873580182902515,-0.00720977084711194,0.015957387164235115,0.0023232586681842804,-0.02545962668955326,0.03346417844295502,0.08740103244781494,-0.06795937567949295]],""root_pose"":[[-0.004487022757530212,-0.0003754347562789917,0.09701164066791534,0.9999863505363464,-0.0032259824220091105,-0.003826565109193325,0.0015543767949566245]]}",0.2059289589524269,0.08390681189484894,8.20347060747995e-05,0.006293788153907745,0.038379259833124776,0.0021669864654541016,True,2,[2],complete
3,2,1,sim_state_after,"{""joint_pos"":[[-0.11945889890193939,-0.023905422538518906,-0.004107317887246609,-0.09373115748167038,0.009196911007165909,0.003896053647622466,-0.0016947225667536259,-0.013005675747990608,0.058686282485723495,0.038626834750175476,0.07988596707582474,0.003193330718204379]],""root_pose"":[[0.014678188599646091,-0.004046149551868439,0.10526860505342484,0.9996986985206604,0.014945248141884804,-0.019448360428214073,0.0009884602623060346]]}","{""joint_pos"":[[0.0025632481556385756,-0.0014971315395087004,-0.0057388367131352425,-0.007582415360957384,-0.006355504039674997,-0.004548851400613785,0.010646665468811989,0.011185728944838047,-0.02444860339164734,0.03641589358448982,0.04121813178062439,-0.04840335622429848]],""root_pose"":[[-0.0037597045302391052,-0.000992119312286377,0.09909854084253311,0.9999809265136719,-1.2180071280454285e-05,-0.005999052431434393,0.0015250095166265965]]}","{""joint_pos"":[[0.08647006005048752,0.005696365609765053,-0.016449978575110435,0.0014186573680490255,0.0004907626425847411,-0.007280073128640652,0.01597089320421219,0.0022240353282541037,-0.02545914053916931,0.03441958129405975,0.08523404598236084,-0.06736186891794205]],""root_pose"":[[-0.004409408196806908,-0.00038076192140579224,0.0970376655459404,0.9999862909317017,-0.00319076725281775,-0.003868676023557782,0.0015525968046858907]]}","{""joint_pos"":[[0.08713990449905396,0.005811376962810755,-0.016544261947274208,0.0015875751851126552,0.0004873580182902515,-0.00720977084711194,0.015957387164235115,0.0023232586681842804,-0.02545962668955326,0.03346417844295502,0.08740103244781494,-0.06795937567949295]],""root_pose"":[[-0.004487022757530212,-0.0003754347562789917,0.09701164066791534,0.9999863505363464,-0.0032259824220091105,-0.003826565109193325,0.0015543767949566245]]}",0.2059289589524269,0.08390681189484894,8.20347060747995e-05,0.006293788153907745,0.038379259833124776,0.0021669864654541016,True,2,[2],complete
