source_version,source_step_index,source_event_indices,decoded_segment_index,command_start_s,command_end_s,commands,servo_target_deg,wheel_target_rad_s,concurrent,servo_duration_s,wheel_duration_s,explicit_hold_s,final_segment_duration_s,expected_wheel_displacement_rad,command_provenance
v007_20260806_190636_100857_manual,6,[2],19,21.01133333303938,21.032666666372716,"[""servo front_left_knee -34.6""]","{""front_left_knee"":-34.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.021333333333333353,0.0,0.0,0.021333333333334537,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_knee -34.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":19,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":6}]"
v007_20260806_190636_100857_manual,7,[0],20,21.032666666372716,21.057333333039384,"[""servo front_left_hip 3.7""]","{""front_left_hip"":3.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.024666666666666667,0.0,0.0,0.02466666666666839,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_hip 3.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":20,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":7}]"
v007_20260806_190636_100857_manual,7,[1],21,21.057333333039384,21.21266666637272,"[""servo front_left_hip 27.0""]","{""front_left_hip"":27.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.15533333333333335,0.0,0.0,0.15533333333333488,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_hip 27.0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":21,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":7}]"
v007_20260806_190636_100857_manual,7,[2],22,21.21266666637272,21.28999999970605,"[""servo front_left_hip 38.6""]","{""front_left_hip"":38.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.07733333333333334,0.0,0.0,0.07733333333333192,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_hip 38.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":22,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":7}]"
v007_20260806_190636_100857_manual,7,[3],23,21.28999999970605,21.297333333039383,"[""servo front_left_hip 39.7""]","{""front_left_hip"":39.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.007333333333333343,0.0,0.0,0.0073333333333316375,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_hip 39.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":23,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":7}]"
v007_20260806_190636_100857_manual,8,[0],24,21.297333333039383,36.097333332824014,"[""wheel all 0.300""]",{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",False,0.0,14.799999999784632,0.0,14.799999999784632,"{""front_left_ankle"":4.439999999935389,""front_right_ankle"":4.439999999935389,""rear_left_ankle"":4.439999999935389,""rear_right_ankle"":4.439999999935389}","[{""base_command"":""wheel all 0.300"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":24,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":8}]"
v007_20260806_190636_100857_manual,8,[1],25,36.097333332824014,36.097333332824014,"[""wheel stop""]",{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.0,0.0,0.0,0.0,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""wheel stop"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":25,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":8}]"
v007_20260806_190636_100857_manual,9,[0],26,36.097333332824014,36.16799999949068,"[""servo front_left_knee -24.0""]","{""front_left_knee"":-24.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.07066666666666667,0.0,0.0,0.07066666666666777,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_knee -24.0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":26,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":9}]"
v007_20260806_190636_100857_manual,9,[1],27,36.16799999949068,36.252666666157346,"[""servo front_left_knee -11.3""]","{""front_left_knee"":-11.3}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.08466666666666667,0.0,0.0,0.08466666666666356,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_knee -11.3"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":27,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":9}]"
v007_20260806_190636_100857_manual,9,[2],28,36.252666666157346,36.28799999949068,"[""servo front_left_knee -6.0""]","{""front_left_knee"":-6.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.035333333333333335,0.0,0.0,0.03533333333333388,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_knee -6.0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":28,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":9}]"
v007_20260806_190636_100857_manual,9,[3],29,36.28799999949068,36.344666666157345,"[""servo front_left_hip 31.2""]","{""front_left_hip"":31.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.05666666666666669,0.0,0.0,0.05666666666666487,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_hip 31.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":29,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":9}]"
v007_20260806_190636_100857_manual,9,[4],30,36.344666666157345,36.42199999949068,"[""servo front_left_hip 19.6""]","{""front_left_hip"":19.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.07733333333333332,0.0,0.0,0.07733333333333547,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_hip 19.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":30,""source_event_index"":4,""source_expanded_index"":0,""source_step_index"":9}]"
v007_20260806_190636_100857_manual,9,[5],31,36.42199999949068,36.44333333282401,"[""servo front_left_hip 16.4""]","{""front_left_hip"":16.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.021333333333333353,0.0,0.0,0.021333333333330984,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_hip 16.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":31,""source_event_index"":5,""source_expanded_index"":0,""source_step_index"":9}]"
