source_version,source_step_index,source_event_indices,decoded_segment_index,command_start_s,command_end_s,commands,servo_target_deg,wheel_target_rad_s,concurrent,servo_duration_s,wheel_duration_s,explicit_hold_s,final_segment_duration_s,expected_wheel_displacement_rad,command_provenance
v009_20260806_215232_433234_manual,1,[0],0,0.0,0.032,"[""servo rear_left_hip 4.8""]","{""rear_left_hip"":4.8}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.032,0.0,0.0,0.032,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 4.8"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":0,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":1}]"
v009_20260806_215232_433234_manual,1,[1],1,0.032,0.06733333333333333,"[""servo rear_left_hip 10.1""]","{""rear_left_hip"":10.1}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.035333333333333335,0.0,0.0,0.03533333333333333,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 10.1"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":1,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":1}]"
v009_20260806_215232_433234_manual,1,[2],2,0.06733333333333333,0.152,"[""servo rear_left_hip 22.8""]","{""rear_left_hip"":22.8}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.08466666666666667,0.0,0.0,0.08466666666666667,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 22.8"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":2,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":1}]"
v009_20260806_215232_433234_manual,1,[3],3,0.152,0.2013333333333333,"[""servo rear_left_hip 30.2""]","{""rear_left_hip"":30.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.049333333333333326,0.0,0.0,0.04933333333333331,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 30.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":3,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":1}]"
v009_20260806_215232_433234_manual,1,[4],4,0.2013333333333333,0.2573333333333333,"[""servo rear_left_hip 38.6""]","{""rear_left_hip"":38.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.056000000000000015,0.0,0.0,0.055999999999999994,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 38.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":4,""source_event_index"":4,""source_expanded_index"":0,""source_step_index"":1}]"
v009_20260806_215232_433234_manual,1,[5],5,0.2573333333333333,0.26466666666666666,"[""servo rear_left_hip 39.7""]","{""rear_left_hip"":39.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.007333333333333343,0.0,0.0,0.007333333333333358,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 39.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":5,""source_event_index"":5,""source_expanded_index"":0,""source_step_index"":1}]"
v009_20260806_215232_433234_manual,2,[0],6,0.26466666666666666,15.397999999779781,"[""wheel all 0.300""]",{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",False,0.0,15.133333333113114,0.0,15.133333333113114,"{""front_left_ankle"":4.539999999933934,""front_right_ankle"":4.539999999933934,""rear_left_ankle"":4.539999999933934,""rear_right_ankle"":4.539999999933934}","[{""base_command"":""wheel all 0.300"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":6,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":2}]"
v009_20260806_215232_433234_manual,2,[1],7,15.397999999779781,15.397999999779781,"[""wheel stop""]",{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.0,0.0,0.0,0.0,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""wheel stop"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":7,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":2}]"
v009_20260806_215232_433234_manual,3,[0],8,15.397999999779781,15.442666666446447,"[""servo front_right_knee 6.7""]","{""front_right_knee"":6.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.04466666666666667,0.0,0.0,0.04466666666666619,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 6.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":8,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":3}]"
v009_20260806_215232_433234_manual,3,[1],9,15.442666666446447,15.534666666446448,"[""servo front_right_knee 20.5""]","{""front_right_knee"":20.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.092,0.0,0.0,0.09200000000000053,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 20.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":9,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":3}]"
