click_id,restore_request_id,worker_request_id,plan_id,plan_sha256,accepted,active_observed,first_command_applied,first_command_sim_step,events_sent,actual_motion_observed,maximum_measured_wheel_rad_s,profile,source_steps,stop_reason,final_operation
e48bb48373fc485593d4f2719736ef98,55e22abe3dd848a68623f3ce00ab077b,393db53fd9f6488385fde0e6733a31d1,409bffca4424-c25fd7dfb420,409bffca442488444a9b089f8f9dc27ef46a43655eb0c580b2c674225cee19c3,True,True,True,370,2,True,0.3914748430252075,motion_only,5,complete,IDLE
52adf09a4bf04c61aee52c91cd643f15,21e15b26497a4d6ab234cd694a1757bd,7e8128b53f8a4c67b791f194bdf0754c,409bffca4424-5dba520302fa,409bffca442488444a9b089f8f9dc27ef46a43655eb0c580b2c674225cee19c3,True,True,True,1186,2,True,0.37886589765548706,motion_only,5,complete,IDLE
e6e14fbb66964613a67c27ddf3d64321,0a4c2c6143cb4f8b8b9af832f8a2d6c1,1fd97672dd36479797be046a5c235a81,409bffca4424-5c5c0600fa68,409bffca442488444a9b089f8f9dc27ef46a43655eb0c580b2c674225cee19c3,True,True,True,2010,2,True,0.38592633605003357,motion_only,5,complete,IDLE
