sim_time_s,sim_step,source_step,command_cursor,segment_cursor,event_cursor,scheduler_state,base_x_m,base_y_m,base_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,robot_state_finite,active_contact_count_available,geometry_support_candidate_count,stability_state,joint_limit_violation
1.5666666666666635,188,1,0,0,0,PREPARING,-0.003989968448877335,-0.000993184745311737,0.09901051968336105,-3.8795075004099296e-05,-0.012018071330770567,0.0030498701370338887,True,False,4,stable,False
1.63333333333333,196,1,0,0,0,PREPARING,-0.004020538181066513,-0.0009933039546012878,0.09900183975696564,-3.801701551617001e-05,-0.012015386625265804,0.003050028860425154,True,False,4,stable,False
1.6999999999999964,204,1,1,0,1,PLAYING,-0.00395878404378891,-0.000682145357131958,0.09825477749109268,-0.003213035451836592,-0.015647937114131788,0.0031031757720259346,True,False,4,recoverable,False
1.7666666666666628,212,1,1,0,1,PLAYING,-0.004534689709544182,-0.0001528412103652954,0.0974646806716919,-0.008673625406955468,-0.02007979865094036,0.00320795478580394,True,False,4,recoverable,False
1.8333333333333293,220,1,1,0,1,PLAYING,-0.005187783390283585,0.0005165785551071167,0.09660942852497101,-0.015627090259004207,-0.025526510869910406,0.003374486269680665,True,False,3,recoverable,False
1.8999999999999957,228,1,2,1,2,PLAYING,-0.005882464349269867,0.0013684183359146118,0.09564774483442307,-0.02457101555574345,-0.03225560418433911,0.003650648887978649,True,False,3,recoverable,False
1.9666666666666621,236,1,2,1,2,PLAYING,-0.006571413949131966,0.0020994767546653748,0.09484222531318665,-0.03230793905703442,-0.03784860115731027,0.003928657497215562,True,False,3,recoverable,False
2.0333333333333288,244,1,3,2,3,PLAYING,-0.007276205345988274,0.0031139105558395386,0.09371072798967361,-0.0431682496514289,-0.04597689963398891,0.0043998222916661195,True,False,2,recoverable,False
2.099999999999995,252,1,3,2,3,PLAYING,-0.00846673920750618,0.004432648420333862,0.09226203709840775,-0.05749528581167242,-0.0562066349815214,0.005139355578855819,True,False,2,recoverable,False
2.1666666666666616,260,1,3,2,3,PLAYING,-0.009242668747901917,0.0057274699211120605,0.09083934873342514,-0.07183733267997207,-0.06700103351794931,0.0060564778684952005,True,False,2,recoverable,False
2.233333333333328,268,1,3,2,3,PLAYING,-0.01012401096522808,0.007025979459285736,0.08936057239770889,-0.08650615930040238,-0.07791232951722289,0.007131831789308463,True,False,2,recoverable,False
2.2999999999999945,276,1,3,2,3,PLAYING,-0.01106659322977066,0.008358597755432129,0.08777333796024323,-0.10191560473514068,-0.08934603790816724,0.008443402278159092,True,False,2,recoverable,False
2.366666666666661,284,1,3,2,3,PLAYING,-0.012305095791816711,0.010050803422927856,0.08567439019680023,-0.1219690742119515,-0.10418430181494012,0.010399223000868662,True,False,2,recoverable,False
2.4333333333333274,292,1,4,3,4,PLAYING,-0.014230329543352127,0.012741729617118835,0.08211304992437363,-0.15522076599358464,-0.12876534765472844,0.014308429816504308,True,False,2,recoverable,False
2.499999999999994,300,1,4,3,4,PLAYING,-0.01710714027285576,0.016362003982067108,0.07681380957365036,-0.20315853643829693,-0.16333429818271017,0.021284307656748012,True,False,2,recoverable,False
2.56666666666666,308,2,5,4,5,PLAYING,-0.018532171845436096,0.01891952008008957,0.07296989113092422,-0.2385081599349422,-0.1877016884758326,0.02872717388936425,True,False,3,recoverable,False
2.6333333333333266,316,2,5,4,5,PLAYING,-0.017658676952123642,0.01918422430753708,0.07238209992647171,-0.24347417018160566,-0.1912165225939055,0.029687029311185237,True,False,3,recoverable,False
