profile,servo_target_deg,servo_target_difference_deg,recorded_wheel_velocity_rad_s,playback_wheel_velocity_rad_s,wheel_velocity_difference_rad_s,recorded_wheel_duration_s,playback_wheel_duration_s,wheel_duration_difference_s,recorded_signed_displacement_fl_rad,playback_signed_displacement_fl_rad,signed_displacement_difference_fl_rad,percentage_scaling_detected,command_signature_equal
raw,10,0,0.3,0.3,0,1.2666666666667297,1.2666666666667297,0,-0.006516654044389725,-0.7600017413496971,-0.753485087305307,false,true
fast,10,0,0.3,0.3,0,1.2666666666667297,1.2666666666667297,0,-0.006516654044389725,-0.7571525704115629,-0.750635916367173,false,true
