wheel_name,articulation_joint,direction,velocity_limit_rad_s,default_recording_velocity_rad_s,real_applied_command_rad_s,mean_measured_before_stop_rad_s,wheel_radius_m,damping,armature,command_stop_p95_s,physical_stop_p95_s,raw_signed_displacement_rad
fl,front_left_ankle,-1,2.0943951023931953,0.3,0.3,0.286782460659742,0.04998999834060672,20,0.002,0.0188946723937988,0.031055212020874,-0.7600017413496971
fr,front_right_ankle,1,2.0943951023931953,0.3,0.3,0.287035192549229,0.04998999834060672,20,0.002,0.0188946723937988,0.031055212020874,0.7140023019164801
rl,rear_left_ankle,-1,2.0943951023931953,0.3,0.3,0.313272020220757,0.04998999834060672,20,0.002,0.0188946723937988,0.031055212020874,-0.7169316858053207
rr,rear_right_ankle,1,2.0943951023931953,0.3,0.3,0.302915371954441,0.04998999834060672,20,0.002,0.0188946723937988,0.031055212020874,0.7576758340001106
