source_version,source_step_index,source_step_id,source_event_indices,source_event_times_s,source_actual_recording_times_s,source_command_start_sim_times_s,source_atomic_batch_ids,source_atomic_event,plan_segment_index,plan_event_indices,commands,servo_target_deg,wheel_requested_target_rad_s,wheel_applied_target_rad_s,runtime_150_start_s,runtime_150_end_s,runtime_150_duration_s,runtime_150_servo_duration_s,runtime_150_wheel_duration_s,runtime_150_explicit_hold_s,counterfactual_30_start_s,counterfactual_30_end_s,counterfactual_30_duration_s,delta_30_minus_150_start_s,delta_30_minus_150_end_s,delta_30_minus_150_duration_s,concurrent_servo_wheel,expected_wheel_displacement_rad,command_provenance
v003_20260805_224517_157723_manual,4,step_004_recorded_height_050mm_dur_10.13s,[3],[5.333333333328483],[5.333333333328483],[535.7833333330104],[],False,11,[11],"[""servo front_right_hip 3.7""]","{""front_right_hip"":3.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.7006666666549,13.9126666666549,0.21199999999999974,0.212,0.0,0.0,16.503333333321567,17.563333333321566,1.0599999999999987,2.802666666666667,3.650666666666666,0.847999999999999,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 3.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":11,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,step_004_recorded_height_050mm_dur_10.13s,[4],[5.733333333328119],[5.733333333328119],[536.1833333330101],[],False,12,[12],"[""servo front_right_hip -0.5""]","{""front_right_hip"":-0.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.9126666666549,13.9406666666549,0.02800000000000047,0.028,0.0,0.0,17.563333333321566,17.703333333321567,0.14000000000000057,3.650666666666666,3.762666666666666,0.1120000000000001,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip -0.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":12,""source_event_index"":4,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,step_004_recorded_height_050mm_dur_10.13s,[5],[6.133333333327755],[6.133333333327755],[536.5833333330097],[],False,13,[13],"[""servo front_right_hip -2.6""]","{""front_right_hip"":-2.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.9406666666549,13.9546666666549,0.013999999999999346,0.014,0.0,0.0,17.703333333321567,17.773333333321567,0.07000000000000028,3.762666666666666,3.818666666666667,0.05600000000000094,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip -2.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":13,""source_event_index"":5,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,step_004_recorded_height_050mm_dur_10.13s,[6],[6.9333333333270275],[6.9333333333270275],[537.383333333009],[],False,14,[14],"[""servo front_right_hip 1.6""]","{""front_right_hip"":1.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.9546666666549,13.9826666666549,0.02800000000000047,0.028,0.0,0.0,17.773333333321567,17.913333333321567,0.14000000000000057,3.818666666666667,3.930666666666667,0.1120000000000001,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 1.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":14,""source_event_index"":6,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,step_004_recorded_height_050mm_dur_10.13s,[7],[7.333333333326664],[7.333333333326664],[537.7833333330086],[],False,15,[15],"[""servo front_right_hip 3.7""]","{""front_right_hip"":3.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.9826666666549,13.9966666666549,0.013999999999999346,0.014,0.0,0.0,17.913333333321567,17.983333333321568,0.07000000000000028,3.930666666666667,3.986666666666668,0.05600000000000094,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 3.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":15,""source_event_index"":7,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,5,step_005_recorded_height_050mm_dur_21.20s,[0],[17.199999999984357],[17.199999999984357],[595.3166666662896],"[""f1ef4b66d2ca48cfa70949e14ef0ed1e""]",True,16,"[16,17,18,19,20,21,22,23,24]","[""servo front_left_hip 0"",""servo front_left_knee -14.5"",""servo front_right_hip 3.7"",""servo front_right_knee 24.7"",""servo rear_left_hip 28.1"",""servo rear_left_knee 0"",""servo rear_right_hip 0"",""servo rear_right_knee 0"",""wheel fl -1.05""]","{""front_left_hip"":0.0,""front_left_knee"":-14.5,""front_right_hip"":3.7,""front_right_knee"":24.7,""rear_left_hip"":28.1,""rear_left_knee"":0.0,""rear_right_hip"":0.0,""rear_right_knee"":0.0}","{""front_left_ankle"":-1.05,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":-1.05,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.9966666666549,15.196666666653808,1.1999999999989086,0.09666666666666666,1.1999999999989086,0.0,17.983333333321568,19.183333333320476,1.1999999999989086,3.986666666666668,3.986666666666668,0.0,True,"{""front_left_ankle"":-1.259999999998854,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_hip 0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":16,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":5},{""base_command"":""servo front_left_knee -14.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":17,""source_event_index"":0,""source_expanded_index"":1,""source_step_index"":5},{""base_command"":""servo front_right_hip 3.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":18,""source_event_index"":0,""source_expanded_index"":2,""source_step_index"":5},{""base_command"":""servo front_right_knee 24.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":19,""source_event_index"":0,""source_expanded_index"":3,""source_step_index"":5},{""base_command"":""servo rear_left_hip 28.1"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":20,""source_event_index"":0,""source_expanded_index"":4,""source_step_index"":5},{""base_command"":""servo rear_left_knee 0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":21,""source_event_index"":0,""source_expanded_index"":5,""source_step_index"":5},{""base_command"":""servo rear_right_hip 0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":22,""source_event_index"":0,""source_expanded_index"":6,""source_step_index"":5},{""base_command"":""servo rear_right_knee 0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":23,""source_event_index"":0,""source_expanded_index"":7,""source_step_index"":5},{""base_command"":""wheel fl -1.05"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":24,""source_event_index"":0,""source_expanded_index"":8,""source_step_index"":5}]"
v003_20260805_224517_157723_manual,5,step_005_recorded_height_050mm_dur_21.20s,[1],[18.399999999983265],[18.399999999983265],[596.5166666662885],[],False,17,[25],"[""wheel stop""]",{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",15.196666666653808,15.196666666653808,0.0,0.0,0.0,0.0,19.183333333320476,19.183333333320476,0.0,3.986666666666668,3.986666666666668,0.0,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""wheel stop"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":25,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":5}]"
v003_20260805_224517_157723_manual,6,step_006_recorded_height_050mm_dur_8.40s,[0],[2.5999999999976353],[2.5999999999976353],[614.9166666662718],[],False,18,[26],"[""wheel all 0.300""]",{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}","{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",15.196666666653808,18.796666666650534,3.599999999996726,0.0,3.599999999996726,0.0,19.183333333320476,22.783333333317202,3.599999999996726,3.986666666666668,3.986666666666668,0.0,False,"{""front_left_ankle"":1.0799999999990177,""front_right_ankle"":1.0799999999990177,""rear_left_ankle"":1.0799999999990177,""rear_right_ankle"":1.0799999999990177}","[{""base_command"":""wheel all 0.300"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":26,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":6}]"
v003_20260805_224517_157723_manual,6,step_006_recorded_height_050mm_dur_8.40s,[1],[6.199999999994361],[6.199999999994361],[618.5166666662685],[],False,19,[27],"[""wheel stop""]",{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",18.796666666650534,18.796666666650534,0.0,0.0,0.0,0.0,22.783333333317202,22.783333333317202,0.0,3.986666666666668,3.986666666666668,0.0,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""wheel stop"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":27,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":6}]"
v003_20260805_224517_157723_manual,7,step_007_recorded_height_050mm_dur_11.40s,[0],[5.399999999995089],[5.399999999995089],[633.4499999995883],[],False,20,[28],"[""servo rear_left_hip 27.0""]","{""rear_left_hip"":27.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",18.796666666650534,18.803999999983866,0.0073333333333316375,0.007333333333333343,0.0,0.0,22.783333333317202,22.819999999983867,0.03666666666666529,3.986666666666668,4.016000000000002,0.029333333333333655,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 27.0"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":28,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":7}]"
