profile,step,segment,global_command_first,global_command_last,command,scheduled_start_sim_time_s,scheduled_end_sim_time_s,planned_start_offset_s,planned_end_offset_s,observer_wall_time,max_servo_error_deg,servo_errors_deg,wheel_targets_rad_s,residual_warning,stop_reason,step24_25_evidence
fast,23,105,142,142,servo front_left_hip 17.3,401.06100000006063,401.1070000000606,76.0776666668585,76.12366666685851,1785900461.9896936,4.738771478444786,"{""front_left_hip"":4.738771478444786}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
fast,23,106,143,143,servo front_left_hip 13.2,401.1070000000606,401.13433333339395,76.12366666685851,76.15100000019184,1785900462.3651822,2.9524615177617335,"{""front_left_hip"":2.9524615177617335}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
fast,23,107,144,144,servo front_left_hip 7.6,401.13433333339395,401.1716666667273,76.15100000019184,76.18833333352518,1785900462.6059272,6.683166807976181,"{""front_left_hip"":6.683166807976181}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":106,""max_error_deg"":1.4394636260298945,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.4394636260298945},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,108,145,145,servo front_left_hip 4.8,401.1716666667273,401.19033333339394,76.18833333352518,76.20700000019184,1785900464.529058,4.399522749306451,"{""front_left_hip"":4.399522749306451}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":107,""max_error_deg"":1.6959880722754805,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.6959880722754805},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,109,146,146,servo front_left_hip 0.7,401.19033333339394,401.21766666672727,76.20700000019184,76.23433333352517,1785900465.567454,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":108,""max_error_deg"":1.7092200913783255,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.7092200913783255},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,110,147,147,servo front_left_hip 11.8,401.21766666672727,401.2916666667273,76.23433333352517,76.30833333352517,1785900466.9694357,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,111,148,148,servo front_left_hip 15.9,401.2916666667273,401.3190000000606,76.30833333352517,76.3356666668585,1785900467.1179993,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,112,149,149,servo front_left_hip 22.8,401.3190000000606,401.3650000000606,76.3356666668585,76.38166666685851,1785900467.274422,3.1314749182788866,"{""front_left_hip"":-3.1314749182788866}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,113,150,150,servo front_left_hip 27,401.3650000000606,401.3930000000606,76.38166666685851,76.40966666685851,1785900467.4231174,1.9164206895700318,"{""front_left_hip"":-1.9164206895700318}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
fast,23,114,151,151,servo front_left_hip 28.4,401.3930000000606,401.4023333333939,76.40966666685851,76.41900000019184,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
fast,23,115,152,152,servo front_left_hip 29.8,401.4023333333939,401.4116666667273,76.41900000019184,76.42833333352517,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
fast,23,116,153,153,servo front_left_hip 33.9,401.4116666667273,401.4390000000606,76.42833333352517,76.4556666668585,1785900467.5620887,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":23,""segment_index"":109,""max_error_deg"":1.72893637131217,""effective_tolerance_deg"":1.7389981250034268,""recorded_residual_deg"":{""front_left_hip"":0.9889981250034268},""measured_errors_deg"":{""front_left_hip"":1.72893637131217},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.2389981250034268}",,
