time_s,joint_name,position_rad,velocity_rad_s,acceleration_rad_s2,raw_acceleration_rad_s2,commanded_position_rad,commanded_velocity_rad_s,commanded_torque_nm,applied_torque_nm,position_tracking_error_rad,velocity_tracking_error_rad_s,torque_tracking_error_nm,position_limit_lower_rad,position_limit_upper_rad,normalized_position_limit_margin,velocity_limit_rad_s,effort_limit_nm,torque_utilization,mechanical_power_w,positive_power_w,negative_power_w,cumulative_positive_work_j,cumulative_absolute_energy_j,actuator_saturation,position_limit_warning,velocity_limit_warning,torque_limit_warning,torque_source
1.5083333333333304,front_left_hip,0.0031779282726347446,-0.031828831881284714,0.0,0.0,0.0013849460519850254,0.0,0.0,0.8402743339538574,0.0017929822206497192,-0.031828831881284714,0.8402743339538574,-2.3548195362091064,2.3575894832611084,0.4996195248037202,4.999999523162842,2.700000047683716,0.31121271078299223,-0.026744950509575816,0.0,-0.026744950509575816,0.0,0.00022287458757979845,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,front_right_hip,-0.0005788257112726569,-0.01979900896549225,0.0,0.0,-0.00011773224105127156,0.0,0.0,1.4684474468231201,-0.00046109347022138536,-0.01979900896549225,1.4684474468231201,-2.3563222885131836,2.3560867309570312,0.4999021632181562,4.999999523162842,2.700000047683716,0.5438694151442243,-0.029073804165005157,0.0,-0.029073804165005157,0.0,0.00024228170137504298,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,rear_left_hip,-0.006858487613499165,0.06991953402757645,0.0,0.0,-0.0031315803062170744,0.0,0.0,-1.9707050323486328,-0.00372690730728209,0.06991953402757645,-1.9707050323486328,-2.3593361377716064,2.3530728816986084,0.4992091391978918,4.999999523162842,2.700000047683716,0.7298907398313815,-0.13779077756761637,0.0,-0.13779077756761637,0.0,0.0011482564797301365,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,rear_right_hip,-0.008689616806805134,0.04795853793621063,0.0,0.0,-0.005637089256197214,0.0,0.0,-1.0575157403945923,-0.0030525275506079197,0.04795853793621063,-1.0575157403945923,-2.3618416786193848,2.35056734085083,0.4993522531872942,4.999999523162842,2.700000047683716,0.3916724895252565,-0.05071690875385393,0.0,-0.05071690875385393,0.0,0.0004226409062821161,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,front_left_knee,-0.005840898025780916,0.04570992663502693,0.0,0.0,0.0004685161984525621,0.0,0.0,1.0451619625091553,-0.006309414224233478,0.04570992663502693,1.0451619625091553,-1.0467389822006226,3.6656699180603027,0.22088450009446492,4.999999523162842,2.700000047683716,0.3870970163151597,0.047774276628014256,0.047774276628014256,0.0,0.0003981189719001188,0.0003981189719001188,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,front_right_knee,-0.0033691436983644962,0.03193269297480583,0.0,0.0,0.0021849488839507103,0.0,0.0,1.4281463623046875,-0.0055540925823152065,0.03193269297480583,1.4281463623046875,-1.0450226068496704,3.667386293411255,0.22104479581422354,4.999999523162842,2.700000047683716,0.5289430878084131,0.0456045593105614,0.0456045593105614,0.0,0.0003800379942546783,0.0003800379942546783,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,rear_left_knee,0.009788084775209427,-0.06205582991242409,0.0,0.0,0.0028451455291360617,0.0,0.0,-0.4458155632019043,0.006942939246073365,-0.06205582991242409,-0.4458155632019043,-3.662356376647949,1.0500526428222656,0.22075005665870792,4.999999523162842,2.700000047683716,0.16511687234389566,0.027665454762368924,0.027665454762368924,0.0,0.00023054545635307436,0.00023054545635307436,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,rear_right_knee,0.010396378114819527,-0.04001972824335098,0.0,0.0,0.0037567163817584515,0.0,0.0,-1.58536958694458,0.006639661733061075,-0.04001972824335098,-1.58536958694458,-3.661444664001465,1.0509642362594604,0.2208144242506258,4.999999523162842,2.700000047683716,0.5871739107207208,0.06344606003479569,0.06344606003479569,0.0,0.0005287171669566308,0.0005287171669566308,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,front_left_ankle,-0.025154046714305878,-0.018219970166683197,0.0,0.0,0.0,-0.0,0.0,0.36620989441871643,-0.025154046714305878,-0.018219970166683197,0.36620989441871643,nan,nan,nan,2.094395160675049,1.0,0.36620989441871643,-0.006672333351053217,0.0,-0.006672333351053217,0.0,5.560277792544347e-05,False,False,False,False,isaaclab.ArticulationData.applied_torque
1.5083333333333304,front_right_ankle,0.04123454913496971,0.02887258306145668,0.0,0.0,0.0,0.0,0.0,-0.5806624889373779,0.04123454913496971,0.02887258306145668,-0.5806624889373779,nan,nan,nan,2.094395160675049,1.0,0.5806624889373779,-0.016765225942516615,0.0,-0.016765225942516615,0.0,0.00013971021618763846,False,False,False,False,isaaclab.ArticulationData.applied_torque
