source_version,source_command_cursor,source_step_index,source_event_index,source_expanded_index,source_command,source_event_time_s,compiler_outcome,plan_event_index,compiled_segment_index,plan_global_command_index,planned_dispatch_time_s,actual_dispatch_time_s,dispatch_lateness_s,servo_target_deg,wheel_target_rad_s,atomic_batch_id,atomic_batch_applied_sim_step,atomic_batch_first_physics_step,atomic_batch_motion_start_skew_s,atomic_batch_ack_valid,atomic_batch_ack_error,command_cursor,segment_cursor,macro_state_cursor
v003_20260805_224517_157723_manual,20,4,8,0,wheel stop,10.133333333324117,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,21,5,0,0,servo front_left_hip 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,16,16,17,,,,"{""front_left_hip"":0.0}",{},,,,,False,,17,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,22,5,0,1,servo front_left_knee -14.5,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,17,16,18,,,,"{""front_left_knee"":-14.5}",{},,,,,False,,18,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,23,5,0,2,servo front_right_hip 3.7,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,18,16,19,,,,"{""front_right_hip"":3.7}",{},,,,,False,,19,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,24,5,0,3,servo front_right_knee 24.7,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,19,16,20,,,,"{""front_right_knee"":24.7}",{},,,,,False,,20,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,25,5,0,4,servo rear_left_hip 28.1,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,20,16,21,,,,"{""rear_left_hip"":28.1}",{},,,,,False,,21,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,26,5,0,5,servo rear_left_knee 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,21,16,22,,,,"{""rear_left_knee"":0.0}",{},,,,,False,,22,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,27,5,0,6,servo rear_right_hip 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,22,16,23,,,,"{""rear_right_hip"":0.0}",{},,,,,False,,23,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,28,5,0,7,servo rear_right_knee 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,23,16,24,,,,"{""rear_right_knee"":0.0}",{},,,,,False,,24,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,29,5,0,8,wheel fl -1.05,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,24,16,25,,,,{},"{""front_left_ankle"":-1.05}",,,,,False,,25,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,30,5,0,9,wheel fr 0,17.199999999984357,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,31,5,0,10,wheel rl 0,17.199999999984357,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,32,5,0,11,wheel rr 0,17.199999999984357,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,33,5,1,0,wheel stop,18.399999999983265,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,25,17,26,,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,,,False,,26,17,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,34,5,2,0,wheel stop,21.19999999998072,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,35,6,0,0,wheel all 0.300,2.5999999999976353,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,26,18,27,,,,{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",,,,,False,,27,18,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,36,6,1,0,wheel stop,6.199999999994361,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,27,19,28,,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,,,False,,28,19,RECORDING_FAST_REPLAY
