time_s,body_index,body_name,mass_kg,body_com_x_m,body_com_y_m,body_com_z_m,contribution_x_m,contribution_y_m,contribution_z_m,mass_fraction,valid_for_total_com
1.3083333333333311,0,base_link,1.3484421968460083,-0.031124673783779144,-0.12230023741722107,0.1826462298631668,-0.014319975928116555,-0.05626842767843779,0.08403267559272777,0.4600843699630843,True
1.3083333333333311,1,front_left_upper,0.12063051015138626,0.20310594141483307,0.02887796424329281,0.2078963816165924,0.008359589225571368,0.001188581274693501,0.008556757816590472,0.04115876260112624,True
1.3083333333333311,2,front_right_upper,0.12198812514543533,0.20350207388401031,-0.27102160453796387,0.20790119469165802,0.008470158577917995,-0.011280454909696641,0.008653258681681224,0.041621976701552994,True
1.3083333333333311,3,rear_left_upper,0.12198812514543533,-0.26506307721138,0.02652939036488533,0.20647798478603363,-0.011032449224134001,0.0011042056676736618,0.008594021872147906,0.041621976701552994,True
1.3083333333333311,4,rear_right_upper,0.12198812514543533,-0.2643977701663971,-0.2733701765537262,0.20669347047805786,-0.011004757829808344,-0.011378207119418622,0.008602990812600856,0.041621976701552994,True
1.3083333333333311,5,front_left_bot,0.2142179161310196,0.25210320949554443,0.03470135107636452,0.10892254114151001,0.01842634974382237,0.002536339116014151,0.007961203040910974,0.07309050043707607,True
1.3083333333333311,6,front_right_bot,0.2146543711423874,0.25404495000839233,-0.27499327063560486,0.10916168987751007,0.018606104172021895,-0.020140346973565305,0.007994938586213992,0.07323941755743323,True
1.3083333333333311,7,rear_left_bot,0.2146543711423874,-0.3138445019721985,0.030125362798571587,0.10995779931545258,-0.02298578852804652,0.0022063640250737497,0.008053245177760876,0.07323941755743323,True
1.3083333333333311,8,rear_right_bot,0.2142179161310196,-0.3158413767814636,-0.27904996275901794,0.11007601767778397,-0.023085004287692275,-0.02039590142500406,0.008045511218189663,0.07309050043707607,True
1.3083333333333311,9,front_left_wheel,0.059519216418266296,0.24727797508239746,0.09021122008562088,0.04890739917755127,0.00502166556339761,0.0018319891902426567,0.0009932004747426964,0.020307775335527967,True
1.3083333333333311,10,front_right_wheel,0.059519216418266296,0.25024688243865967,-0.33043450117111206,0.048915695399045944,0.005081957466980579,-0.006710389612890196,0.000993368952544944,0.020307775335527967,True
1.3083333333333311,11,rear_left_wheel,0.059519216418266296,-0.3089081048965454,0.08418798446655273,0.04988237842917442,-0.006273236393562751,0.001709670674497671,0.0010130001343414605,0.020307775335527967,True
1.3083333333333311,12,rear_right_wheel,0.059519216418266296,-0.31236666440963745,-0.33447155356407166,0.04988199472427368,-0.006343472043139176,-0.006792373165904175,0.0010129923421485412,0.020307775335527967,True
1.333333333333331,0,base_link,1.3484421968460083,-0.031134003773331642,-0.12230117619037628,0.1826379895210266,-0.014324268510481578,-0.05626885959329344,0.08402888434010593,0.4600843699630843,True
1.333333333333331,1,front_left_upper,0.12063051015138626,0.20309656858444214,0.028876911848783493,0.2078942209482193,0.008359203451470407,0.0011885379594377293,0.008556668886153845,0.04115876260112624,True
1.333333333333331,2,front_right_upper,0.12198812514543533,0.20349276065826416,-0.27102261781692505,0.20789869129657745,0.00846977094305297,-0.011280497084369956,0.008653154485429505,0.041621976701552994,True
1.333333333333331,3,rear_left_upper,0.12198812514543533,-0.26507264375686646,0.02652827836573124,0.20647577941417694,-0.011032847402667353,0.0011041593840707782,0.008593930080211868,0.041621976701552994,True
1.333333333333331,4,rear_right_upper,0.12198812514543533,-0.26440727710723877,-0.27337130904197693,0.20669129490852356,-0.01100515352747856,-0.011378254255818208,0.008602900261096388,0.041621976701552994,True
1.333333333333331,5,front_left_bot,0.2142179161310196,0.2520989179611206,0.03470075502991676,0.1089228093624115,0.01842603607342369,0.002536295550681001,0.007961222645310892,0.07309050043707607,True
