time_s,body_name,other_body,active,contact_point_w,contact_normal_w,normal_force_n,tangential_force_n,total_force_n,friction_coefficient,friction_utilization,slip_ratio,slip_state,slip_warning,impact_warning,wheel_contact,source,geometry_source
1.4333333333333307,front_right_ankle,ground_plane,True,"[0.25022146105766296, -0.3192596733570099, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4333333333333307,rear_left_ankle,ground_plane,True,"[-0.30898210406303406, 0.07301165908575058, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4333333333333307,rear_right_ankle,ground_plane,True,"[-0.31249603629112244, -0.3232971429824829, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4583333333333306,front_left_ankle,ground_plane,True,"[0.2472972720861435, 0.0790352001786232, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4583333333333306,front_right_ankle,ground_plane,True,"[0.2502211034297943, -0.31925973296165466, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4583333333333306,rear_left_ankle,ground_plane,True,"[-0.3089990019798279, 0.07301145792007446, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4583333333333306,rear_right_ankle,ground_plane,True,"[-0.3125132918357849, -0.32329726219177246, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4833333333333305,front_left_ankle,ground_plane,True,"[0.24729695916175842, 0.07903508096933365, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4833333333333305,front_right_ankle,ground_plane,True,"[0.2502208948135376, -0.31925979256629944, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4833333333333305,rear_left_ankle,ground_plane,True,"[-0.30901503562927246, 0.07301145792007446, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.4833333333333305,rear_right_ankle,ground_plane,True,"[-0.3125293552875519, -0.32329726219177246, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.5083333333333304,front_left_ankle,ground_plane,True,"[0.24729667603969574, 0.07903517782688141, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.5083333333333304,front_right_ankle,ground_plane,True,"[0.2502206265926361, -0.3192596435546875, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.5083333333333304,rear_left_ankle,ground_plane,True,"[-0.3090302348136902, 0.0730113759636879, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.5083333333333304,rear_right_ankle,ground_plane,True,"[-0.3125442862510681, -0.3232973515987396, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.5333333333333303,front_left_ankle,ground_plane,True,"[0.24729646742343903, 0.07903515547513962, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
1.5333333333333303,front_right_ankle,ground_plane,True,"[0.25022026896476746, -0.31925973296165466, 0.0]","[0.0, 0.0, 1.0]",nan,nan,nan,1.05,nan,0.0,idle_deadband,False,False,True,wheel_geometry_approximation,wheel_geometry_approximation
