sim_time_s,sim_step,source_step,command_cursor,segment_cursor,event_cursor,scheduler_state,base_x_m,base_y_m,base_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,robot_state_finite,active_contact_count_available,geometry_support_candidate_count,stability_state,joint_limit_violation
1.5666666666666635,188,1,0,0,0,PREPARING,-0.003989968448877335,-0.000993184745311737,0.09901051968336105,-3.8795075004099296e-05,-0.012018071330770567,0.0030498701370338887,True,False,4,stable,False
1.63333333333333,196,1,0,0,0,PREPARING,-0.004020538181066513,-0.0009933039546012878,0.09900183975696564,-3.801701551617001e-05,-0.012015386625265804,0.003050028860425154,True,False,4,stable,False
1.6999999999999964,204,1,1,0,1,PLAYING,-0.0039436835795640945,-0.0006723031401634216,0.0982399508357048,-0.0033139410551229257,-0.01576544927764692,0.00310522595212682,True,False,4,recoverable,False
1.7666666666666628,212,1,1,0,1,PLAYING,-0.004597289487719536,0.00016880780458450317,0.09710289537906647,-0.0120023299051195,-0.022893604454547276,0.0032897427760282183,True,False,3,recoverable,False
1.8333333333333293,220,1,1,0,1,PLAYING,-0.005650365725159645,0.0011605918407440186,0.09593204408884048,-0.022355519050627288,-0.030542255090406152,0.003569989044605869,True,False,3,recoverable,False
1.8999999999999957,228,1,1,0,1,PLAYING,-0.006383303552865982,0.0019249841570854187,0.0950721725821495,-0.0304419690475991,-0.03641888443138452,0.0038534757059173505,True,False,3,recoverable,False
1.9666666666666621,236,1,2,1,2,PLAYING,-0.007008466869592667,0.0026283785700798035,0.09428341686725616,-0.037942654259963786,-0.041890711093015245,0.0041581023423632795,True,False,2,recoverable,False
2.0333333333333288,244,1,2,1,2,PLAYING,-0.0076804012060165405,0.0034186318516731262,0.0933997631072998,-0.04645749088030701,-0.0480747078047295,0.004562568339667156,True,False,2,recoverable,False
2.099999999999995,252,1,3,2,3,PLAYING,-0.008390380069613457,0.0042383745312690735,0.09248651564121246,-0.05536450759685245,-0.05452288792799895,0.00503031163106016,True,False,2,recoverable,False
2.1666666666666616,260,2,4,3,4,PLAYING,-0.008826056495308876,0.00485122948884964,0.09176541119813919,-0.06213210007600005,-0.05953599426958121,0.005422520497295781,True,False,2,recoverable,False
2.233333333333328,268,2,4,3,4,PLAYING,-0.008846305310726166,0.005311362445354462,0.09124813228845596,-0.06722791165953854,-0.06354135995264369,0.005753143050511752,True,False,2,recoverable,False
2.2999999999999945,276,2,4,3,4,PLAYING,-0.009105304256081581,0.00595768541097641,0.09050853550434113,-0.0744603661598655,-0.06904810082006006,0.006249111035141678,True,False,2,recoverable,False
2.366666666666661,284,2,5,4,5,PLAYING,-0.009585004299879074,0.006547704339027405,0.08978090435266495,-0.08117290336482219,-0.07393054825403847,0.006728449934085707,True,False,2,recoverable,False
2.4333333333333274,292,2,5,4,5,PLAYING,-0.009861810132861137,0.00704396516084671,0.08917755633592606,-0.08684422347569913,-0.07812329066205766,0.0071630697280960776,True,False,2,recoverable,False
2.499999999999994,300,2,5,4,5,PLAYING,-0.010280497372150421,0.007937222719192505,0.08815490454435349,-0.09709657683661514,-0.08587251427274871,0.008025330309733177,True,False,2,recoverable,False
2.56666666666666,308,2,5,4,5,PLAYING,-0.011317640542984009,0.009404279291629791,0.08637158572673798,-0.11435072793682294,-0.09865156490040593,0.009637707427335144,True,False,2,recoverable,False
2.6333333333333266,316,2,5,4,5,PLAYING,-0.012943487614393234,0.011594146490097046,0.08357623964548111,-0.14094255881928694,-0.1182265203640598,0.012536746411902961,True,False,2,recoverable,False
