time_s,body_name,other_body,active,contact_point_w,contact_normal_w,normal_force_n,tangential_force_n,total_force_n,friction_coefficient,friction_utilization,slip_ratio,slip_warning,impact_warning,wheel_contact,source,geometry_source
1.058333333333332,front_left_wheel,ground_or_obstacle,True,"[0.24942903220653534, 0.0795154720544815, -0.0010528333485126523]","[1.3435884647169443e-07, 0.0, 0.9999999999999909]",8.012222290039062,0.0,8.012222290039135,1.05,nan,0.19552952206336802,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.058333333333332,front_right_wheel,ground_or_obstacle,True,"[0.25302162766456604, -0.31877580285072327, -0.0008730061352252988]","[1.3435882795964156e-07, 0.0, 0.999999999999991]",5.996397972106934,0.0,5.996397972106988,1.05,nan,0.21938652993944355,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.058333333333332,rear_left_wheel,ground_or_obstacle,True,"[-0.3053854703903198, 0.07309018075466156, -0.00011589303612709323]","[1.3435884311559142e-07, 0.0, 0.9999999999999909]",6.371138095855713,0.0,6.371138095855771,1.05,nan,0.17646635922002166,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.058333333333332,rear_right_wheel,ground_or_obstacle,True,"[-0.30811816453933716, -0.3232194483280182, -0.0001697905361652402]","[1.3435884560862675e-07, 0.0, 0.9999999999999911]",8.38394832611084,0.0,8.383948326110914,1.05,nan,0.13727299015354236,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.083333333333332,front_left_wheel,ground_or_obstacle,True,"[0.25012117624282837, 0.0795152336359024, -0.000914163142442706]","[1.3435885284623614e-07, 0.0, 0.999999999999991]",8.114592552185059,0.0,8.114592552185131,1.05,nan,0.15554090971824447,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.083333333333332,front_right_wheel,ground_or_obstacle,True,"[0.2537243664264679, -0.31877613067626953, -0.0007433995604515103]","[1.3435884582207042e-07, 0.0, 0.999999999999991]",6.123603820800781,0.0,6.123603820800836,1.05,nan,0.17741534771407053,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.083333333333332,rear_left_wheel,ground_or_obstacle,True,"[-0.3046886920928955, 0.07309119403362274, -0.00016977563500404635]","[1.3435883831756492e-07, 0.0, 0.9999999999999909]",6.26295804977417,0.0,6.262958049774227,1.05,nan,0.1221413775306083,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.083333333333332,rear_right_wheel,ground_or_obstacle,True,"[-0.3074233829975128, -0.323218435049057, -0.0002310715615749387]","[1.343588523890261e-07, 0.0, 0.9999999999999909]",8.238751411437988,0.0,8.238751411438063,1.05,nan,0.09413085073397302,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1083333333333318,front_left_wheel,ground_or_obstacle,True,"[0.25082066655158997, 0.07951471209526062, -0.0007837817072868375]","[1.3435884664697725e-07, 0.0, 0.999999999999991]",8.089336395263672,0.0,8.089336395263745,1.05,nan,0.15363722475916267,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1083333333333318,front_right_wheel,ground_or_obstacle,True,"[0.2544330954551697, -0.3187766671180725, -0.0006228715181350736]","[1.3435882507128618e-07, 0.0, 0.999999999999991]",6.18931245803833,0.0,6.189312458038386,1.05,nan,0.17274337828566616,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1083333333333318,rear_left_wheel,ground_or_obstacle,True,"[-0.303984671831131, 0.07309244573116302, -0.00023373886942863742]","[1.3435883789178597e-07, 0.0, 0.999999999999991]",6.295665740966797,0.0,6.295665740966854,1.05,nan,0.1254389045516464,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1083333333333318,rear_right_wheel,ground_or_obstacle,True,"[-0.306720495223999, -0.3232172131538391, -0.0003033235669136075]","[1.3435884444092576e-07, 0.0, 0.9999999999999909]",8.166414260864258,0.0,8.166414260864332,1.05,nan,0.09274152373873194,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1333333333333317,front_left_wheel,ground_or_obstacle,True,"[0.2515254318714142, 0.07951422035694122, -0.0006622999906539945]","[1.3435883344309206e-07, 0.0, 0.999999999999991]",8.096975326538086,0.0,8.096975326538159,1.05,nan,0.1613933685682119,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1333333333333317,front_right_wheel,ground_or_obstacle,True,"[0.255146324634552, -0.3187771141529083, -0.0005120702087879209]","[1.3435883659818733e-07, 0.0, 0.999999999999991]",6.202012538909912,0.0,6.202012538909968,1.05,nan,0.17843277429715498,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1333333333333317,rear_left_wheel,ground_or_obstacle,True,"[-0.3032764494419098, 0.07309269160032272, -0.0003086358308792142]","[1.3435884452028986e-07, 0.0, 0.999999999999991]",6.283025741577148,0.0,6.283025741577205,1.05,nan,0.12681140432987448,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1333333333333317,rear_right_wheel,ground_or_obstacle,True,"[-0.30601057410240173, -0.32321682572364807, -0.00038699731230736056]","[1.3435885528302483e-07, 0.0, 0.9999999999999909]",8.158048629760742,0.0,8.158048629760817,1.05,nan,0.1025231402112561,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1583333333333317,front_left_wheel,ground_or_obstacle,True,"[0.25223368406295776, 0.07951460778713226, -0.0005501836538314847]","[1.3435883536634114e-07, 0.0, 0.999999999999991]",8.291666030883789,0.0,8.291666030883864,1.05,nan,0.1649571579439833,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1583333333333317,front_right_wheel,ground_or_obstacle,True,"[0.25586241483688354, -0.31877678632736206, -0.0004112228751182584]","[1.3435883168567313e-07, 0.0, 0.999999999999991]",6.056468486785889,0.0,6.056468486785943,1.05,nan,0.1807741558545701,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1583333333333317,rear_left_wheel,ground_or_obstacle,True,"[-0.30256497859954834, 0.07309548556804657, -0.00039564371109009067]","[1.343588306778521e-07, 0.0, 0.999999999999991]",6.093596458435059,0.0,6.093596458435114,1.05,nan,0.13621588257238304,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1583333333333317,rear_right_wheel,ground_or_obstacle,True,"[-0.30529800057411194, -0.3232140839099884, -0.00048190653324127475]","[1.34358847492889e-07, 0.0, 0.999999999999991]",8.30493450164795,0.0,8.304934501648024,1.05,nan,0.10826824317950486,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1833333333333316,front_left_wheel,ground_or_obstacle,True,"[0.252948135137558, 0.07951458543539047, -0.0004474736750125913]","[1.3435883945679644e-07, 0.0, 0.999999999999991]",8.316645622253418,0.0,8.316645622253493,1.05,nan,0.17110026984143709,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1833333333333316,front_right_wheel,ground_or_obstacle,True,"[0.2565847635269165, -0.3187767267227173, -0.00032034069299698154]","[1.3435883649298295e-07, 0.0, 0.999999999999991]",6.056980609893799,0.0,6.056980609893853,1.05,nan,0.1859324125744456,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1833333333333316,rear_left_wheel,ground_or_obstacle,True,"[-0.3018452525138855, 0.07309597730636597, -0.000492933392524722]","[1.3435884187747687e-07, 0.0, 0.999999999999991]",6.061912536621094,0.0,6.061912536621148,1.05,nan,0.1432863534006595,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.1833333333333316,rear_right_wheel,ground_or_obstacle,True,"[-0.3045753538608551, -0.3232135772705078, -0.000588397681713107]","[1.3435885127362394e-07, 0.0, 0.999999999999991]",8.312016487121582,0.0,8.312016487121657,1.05,nan,0.12077569636202946,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.2083333333333315,front_left_wheel,ground_or_obstacle,True,"[0.2536690831184387, 0.07951562106609344, -0.00035574957728386203]","[1.3435884276851667e-07, 0.0, 0.999999999999991]",8.122244834899902,0.0,8.122244834899975,1.05,nan,0.1429968562616515,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.2083333333333315,front_right_wheel,ground_or_obstacle,True,"[0.2573183476924896, -0.31877565383911133, -0.00024082064628601352]","[1.3435884171686264e-07, 0.0, 0.9999999999999909]",6.23272180557251,0.0,6.232721805572567,1.05,nan,0.1483677831154263,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.2083333333333315,rear_left_wheel,ground_or_obstacle,True,"[-0.3011237680912018, 0.07309672236442566, -0.0006013952195644406]","[1.3435883541687396e-07, 0.0, 0.999999999999991]",6.23854398727417,0.0,6.238543987274226,1.05,nan,0.10910768163650589,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.2083333333333315,rear_right_wheel,ground_or_obstacle,True,"[-0.3038455545902252, -0.32321280241012573, -0.0007069475948810605]","[1.343588461937636e-07, 0.0, 0.999999999999991]",8.125222206115723,0.0,8.125222206115795,1.05,nan,0.08321414796057154,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
1.2333333333333314,front_left_wheel,ground_or_obstacle,True,"[0.254396915435791, 0.07951690256595612, -0.00027221366763115207]","[1.343588389133814e-07, 0.0, 0.999999999999991]",8.4840669631958,0.0,8.484066963195877,1.05,nan,0.17412418938254484,False,False,True,isaaclab.ContactSensor.net_forces_w,wheel_geometry_approximation
