sim_time_s,sim_step,source_step,command_cursor,segment_cursor,event_cursor,scheduler_state,base_x_m,base_y_m,base_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,robot_state_finite,active_contact_count_available,geometry_support_candidate_count,stability_state,joint_limit_violation
1.5666666666666635,188,1,0,0,0,PREPARING,-0.003989968448877335,-0.000993184745311737,0.09901051968336105,-3.8795075004099296e-05,-0.012018071330770567,0.0030498701370338887,True,False,4,stable,False
1.63333333333333,196,1,0,0,0,PREPARING,-0.004020538181066513,-0.0009933039546012878,0.09900183975696564,-3.801701551617001e-05,-0.012015386625265804,0.003050028860425154,True,False,4,stable,False
1.6999999999999964,204,1,1,0,1,PLAYING,-0.00400274433195591,-0.0008250176906585693,0.09842207282781601,-0.0017588910956210727,-0.014279948846582163,0.0030788540100651794,True,False,4,recoverable,False
1.7666666666666628,212,1,2,1,2,PLAYING,-0.004361867904663086,-0.0002207830548286438,0.09753360599279404,-0.007966260964180821,-0.0196871492736916,0.003194308098806548,True,False,4,recoverable,False
1.8333333333333293,220,1,2,1,2,PLAYING,-0.005211649462580681,0.0006106570363044739,0.09650596976280212,-0.01661954415604829,-0.02632800538695429,0.0034073054932477385,True,False,3,recoverable,False
1.8999999999999957,228,1,2,1,2,PLAYING,-0.005949769169092178,0.0014115944504737854,0.09560728818178177,-0.02501420416663048,-0.0325168360418249,0.0036591197082866947,True,False,3,recoverable,False
1.9666666666666621,236,1,3,2,3,PLAYING,-0.006581494584679604,0.0021107643842697144,0.0948314368724823,-0.032428084657720006,-0.03792150464577464,0.0039325419483617775,True,False,3,recoverable,False
2.0333333333333288,244,1,3,2,3,PLAYING,-0.007219668477773666,0.0028319954872131348,0.09403441101312637,-0.040131777507139484,-0.04350812906052286,0.004256997870494952,True,False,2,recoverable,False
2.099999999999995,252,1,4,3,4,PLAYING,-0.007927808910608292,0.0036407336592674255,0.09312944114208221,-0.04884557141546783,-0.04978661761545578,0.004676294487260915,True,False,2,recoverable,False
2.1666666666666616,260,1,4,3,4,PLAYING,-0.00863281637430191,0.004691027104854584,0.09198140352964401,-0.06033119702546679,-0.058357330210565245,0.005322423494502355,True,False,2,recoverable,False
2.233333333333328,268,1,5,4,5,PLAYING,-0.009142842143774033,0.0056245699524879456,0.09093943238258362,-0.07071802778722916,-0.06618005209136592,0.005996099252789232,True,False,2,recoverable,False
2.2999999999999945,276,2,6,5,6,PLAYING,-0.009215980768203735,0.00686955451965332,0.08947586268186569,-0.08469585244951278,-0.07660393799268868,0.006996635136459468,True,False,2,recoverable,False
2.366666666666661,284,2,6,5,6,PLAYING,-0.009799409657716751,0.008645616471767426,0.08737370371818542,-0.10493046190385004,-0.09166521796032102,0.00875125339614604,True,False,2,recoverable,False
2.4333333333333274,292,2,6,5,6,PLAYING,-0.010823503136634827,0.011136241257190704,0.08421499282121658,-0.13472698165162406,-0.11355525238960174,0.01186627469607446,True,False,3,recoverable,False
2.499999999999994,300,2,6,5,6,PLAYING,-0.010559655725955963,0.011571802198886871,0.0838376060128212,-0.13932891280179055,-0.11670406431109871,0.012679673146352271,True,False,3,recoverable,False
2.56666666666666,308,2,6,5,6,PLAYING,-0.009678129106760025,0.011563926935195923,0.0838945135474205,-0.139317291658919,-0.1172126903788265,0.01264339490534017,True,False,3,recoverable,False
2.6333333333333266,316,2,6,5,6,PLAYING,-0.00875353068113327,0.011549882590770721,0.08394857496023178,-0.13924722846670504,-0.11773523561971948,0.012596963340139709,True,False,3,recoverable,False
