source_version,source_step_index,source_event_indices,decoded_segment_index,command_start_s,command_end_s,commands,servo_target_deg,wheel_target_rad_s,concurrent,servo_duration_s,wheel_duration_s,explicit_hold_s,final_segment_duration_s,expected_wheel_displacement_rad,command_provenance
v003_20260805_224517_157723_manual,18,[8],74,65.03399999997514,65.04133333330847,"[""servo rear_left_knee 22.6""]","{""rear_left_knee"":22.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.007333333333333343,0.0,0.0,0.00733333333333519,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_knee 22.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":114,""source_event_index"":8,""source_expanded_index"":0,""source_step_index"":18}]"
v003_20260805_224517_157723_manual,18,[9],75,65.04133333330847,65.0626666666418,"[""servo rear_left_knee 25.8""]","{""rear_left_knee"":25.8}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.02133333333333333,0.0,0.0,0.021333333333330984,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_knee 25.8"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":115,""source_event_index"":9,""source_expanded_index"":0,""source_step_index"":18}]"
v003_20260805_224517_157723_manual,19,[0],76,65.0626666666418,65.08399999997513,"[""servo rear_left_hip -1.6""]","{""rear_left_hip"":-1.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.021333333333333336,0.0,0.0,0.021333333333330984,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip -1.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":116,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":19}]"
v003_20260805_224517_157723_manual,19,[1],77,65.08399999997513,65.1546666666418,"[""servo rear_left_hip -12.2""]","{""rear_left_hip"":-12.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.07066666666666667,0.0,0.0,0.07066666666666777,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip -12.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":117,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":19}]"
v003_20260805_224517_157723_manual,19,[2],78,65.1546666666418,65.18999999997513,"[""servo rear_left_hip -17.5""]","{""rear_left_hip"":-17.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.035333333333333335,0.0,0.0,0.03533333333332678,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip -17.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":118,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":19}]"
v003_20260805_224517_157723_manual,20,[0],79,65.18999999997513,65.19733333330846,"[""servo rear_left_hip -16.4""]","{""rear_left_hip"":-16.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.007333333333333343,0.0,0.0,0.00733333333333519,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip -16.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":119,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[1],80,65.19733333330846,65.21133333330846,"[""servo rear_left_hip -14.3""]","{""rear_left_hip"":-14.3}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.013999999999999986,0.0,0.0,0.013999999999995794,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip -14.3"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":120,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[2],81,65.21133333330846,65.38066666664179,"[""servo rear_left_hip 11.1""]","{""rear_left_hip"":11.1}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.16933333333333334,0.0,0.0,0.16933333333332712,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 11.1"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":121,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[3],82,65.38066666664179,65.39466666664178,"[""servo rear_left_hip 13.2""]","{""rear_left_hip"":13.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.013999999999999997,0.0,0.0,0.013999999999995794,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 13.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":122,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":20}]"
v003_20260805_224517_157723_manual,20,[4],83,65.39466666664178,65.40933333330845,"[""servo rear_left_hip 15.4""]","{""rear_left_hip"":15.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.014666666666666673,0.0,0.0,0.01466666666667038,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 15.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":123,""source_event_index"":4,""source_expanded_index"":0,""source_step_index"":20}]"
