test_index,requested_velocity_rad_s,start_requested_wall_time,start_generation,measured_velocity_before_stop_rad_s,stop_click_wall_time,ui_callback_latency_s,stop_command_id,stop_generation,stop_command_requested_wall_time,zero_command_enqueue_wall_time,zero_target_applied_wall_time,measured_stop_wall_time,ipc_enqueue_latency_s,worker_apply_latency_s,command_stop_latency_s,physical_stop_latency_s,stop_tolerance_rad_s,measured_velocity_after_stop_rad_s,stale_command_detected,pass
11,0.3,1785822643.3394985,11,"{""front_left_ankle"": 0.2994478940963745, ""front_right_ankle"": 0.28902578353881836, ""rear_left_ankle"": 0.30693498253822327, ""rear_right_ankle"": 0.299964964389801}",1785822643.462563,0.00834770011715591,ab556d6bc79f4e2882d041d5629f43bc,12,1785822643.4627383,1785822643.4627469,1785822643.4792829,1785822643.506186,8.58306884765625e-06,0.01653599739074707,0.016719818115234375,0.026903152465820312,0.1,"{""front_left_ankle"": -0.005177196115255356, ""front_right_ankle"": -0.008594749495387077, ""rear_left_ankle"": 0.011284280568361282, ""rear_right_ankle"": 0.004741896875202656}",True,True
12,0.3,1785822643.9567938,12,"{""front_left_ankle"": 0.306029349565506, ""front_right_ankle"": 0.2868984639644623, ""rear_left_ankle"": 0.31600049138069153, ""rear_right_ankle"": 0.30304601788520813}",1785822644.3129013,0.00832919985987246,afe334bf730d4ff59692aa03cf6b0d25,13,1785822644.3145068,1785822644.3145533,1785822644.330352,1785822644.3572905,4.649162292480469e-05,0.01579880714416504,0.017450809478759766,0.026938438415527344,0.1,"{""front_left_ankle"": 0.018701214343309402, ""front_right_ankle"": -0.017576662823557854, ""rear_left_ankle"": 0.03015095554292202, ""rear_right_ankle"": -0.0026820781640708447}",True,True
13,0.3,1785822645.0723464,13,"{""front_left_ankle"": 0.28580185770988464, ""front_right_ankle"": 0.2874623239040375, ""rear_left_ankle"": 0.32080626487731934, ""rear_right_ankle"": 0.3092721700668335}",1785822645.4198558,0.0034307001624256372,42873c3d8b104e21ae043f0ad95a8148,14,1785822645.419977,1785822645.4199812,1785822645.4338884,1785822645.461742,4.291534423828125e-06,0.013907194137573242,0.014032602310180664,0.02785348892211914,0.1,"{""front_left_ankle"": -0.012003352865576744, ""front_right_ankle"": -0.009432096034288406, ""rear_left_ankle"": 0.019318751990795135, ""rear_right_ankle"": 0.008618755266070366}",True,True
14,0.3,1785822645.8071086,14,"{""front_left_ankle"": 0.2749863564968109, ""front_right_ankle"": 0.29877564311027527, ""rear_left_ankle"": 0.31579774618148804, ""rear_right_ankle"": 0.3209529519081116}",1785822646.1618922,0.0031397000420838594,6079a03a962740c482f98d5a5aaea023,15,1785822646.1619833,1785822646.161987,1785822646.1629694,1785822646.189476,3.814697265625e-06,0.0009822845458984375,0.0010771751403808594,0.026506662368774414,0.1,"{""front_left_ankle"": -0.023648712784051895, ""front_right_ankle"": 0.0018932183738797903, ""rear_left_ankle"": 0.021734101697802544, ""rear_right_ankle"": 0.018034011125564575}",True,True
15,0.3,1785822646.5613918,15,"{""front_left_ankle"": 0.2803313732147217, ""front_right_ankle"": 0.28687477111816406, ""rear_left_ankle"": 0.3193244934082031, ""rear_right_ankle"": 0.30733972787857056}",1785822646.9064565,0.0030684000812470913,736f1e36aa7541bd962d0d169422a70c,16,1785822646.9065742,1785822646.9065788,1785822646.9253511,1785822646.951941,4.5299530029296875e-06,0.018772363662719727,0.018894672393798828,0.02658987045288086,0.1,"{""front_left_ankle"": -0.015543172135949135, ""front_right_ankle"": -0.0099305035546422, ""rear_left_ankle"": 0.01832634024322033, ""rear_right_ankle"": 0.014119338244199753}",True,True
16,0.3,1785822647.287401,16,"{""front_left_ankle"": 0.2851698100566864, ""front_right_ankle"": 0.2740327715873718, ""rear_left_ankle"": 0.3197597563266754, ""rear_right_ankle"": 0.3029937446117401}",1785822647.3983526,0.0043132000137120485,7e8ee33d3d0e489db0bab95ae999fe0c,17,1785822647.3984456,1785822647.3984504,1785822647.415574,1785822647.4430964,4.76837158203125e-06,0.017123699188232422,0.017221450805664062,0.02752232551574707,0.1,"{""front_left_ankle"": -0.009326857514679432, ""front_right_ankle"": -0.019433889538049698, ""rear_left_ankle"": 0.020050641149282455, ""rear_right_ankle"": 0.012719440273940563}",True,True
17,0.3,1785822647.7534883,17,"{""front_left_ankle"": 0.29332035779953003, ""front_right_ankle"": 0.26994454860687256, ""rear_left_ankle"": 0.3268020451068878, ""rear_right_ankle"": 0.30414190888404846}",1785822647.8814101,0.007664899807423353,31ef237379de439fa38227eb7ed29460,18,1785822647.8815644,1785822647.8815732,1785822647.885679,1785822647.9129293,8.821487426757812e-06,0.004105806350708008,0.0042688846588134766,0.027250289916992188,0.1,"{""front_left_ankle"": -0.002343331463634968, ""front_right_ankle"": -0.029450546950101852, ""rear_left_ankle"": 0.01926269195973873, ""rear_right_ankle"": 0.011419190093874931}",True,True
18,0.3,1785822648.2504745,18,"{""front_left_ankle"": 0.2963177561759949, ""front_right_ankle"": 0.2674500346183777, ""rear_left_ankle"": 0.27658966183662415, ""rear_right_ankle"": 0.3033519983291626}",1785822648.4006853,0.005263800034299493,0622bd3ef7134cd5aad9e24723870c8d,19,1785822648.4012387,1785822648.4012616,1785822648.4125202,1785822648.4400418,2.288818359375e-05,0.011258602142333984,0.011834859848022461,0.027521610260009766,0.1,"{""front_left_ankle"": 0.0007902758661657572, ""front_right_ankle"": -0.04072992131114006, ""rear_left_ankle"": 0.01837201789021492, ""rear_right_ankle"": 0.010325398296117783}",True,True
19,0.3,1785822648.773227,19,"{""front_left_ankle"": 0.3523610532283783, ""front_right_ankle"": 0.24474623799324036, ""rear_left_ankle"": 0.3235129117965698, ""rear_right_ankle"": 0.29966211318969727}",1785822648.8819818,0.002698600059375167,26b4c661af3c4cbca879e3c86b8b6ce0,20,1785822648.8820717,1785822648.8820765,1785822648.9014256,1785822648.92874,4.76837158203125e-06,0.019349098205566406,0.019443750381469727,0.027314424514770508,0.1,"{""front_left_ankle"": -0.00199357932433486, ""front_right_ankle"": -0.003466137684881687, ""rear_left_ankle"": 0.009794000536203384, ""rear_right_ankle"": 0.008767555467784405}",True,True
20,0.3,1785822649.2740173,20,"{""front_left_ankle"": 0.30809468030929565, ""front_right_ankle"": 0.30287474393844604, ""rear_left_ankle"": 0.3120954930782318, ""rear_right_ankle"": 0.3056321144104004}",1785822649.392961,0.002675499999895692,0321c3a65c554af99cf93f1d7e744dcc,21,1785822649.3930569,1785822649.3930614,1785822649.3942692,1785822649.4218664,4.5299530029296875e-06,0.0012078285217285156,0.0013082027435302734,0.02759718894958496,0.1,"{""front_left_ankle"": -0.01900476962327957, ""front_right_ankle"": 0.0036090309731662273, ""rear_left_ankle"": 0.0023886722046881914, ""rear_right_ankle"": 0.009489260613918304}",True,True
