height_mm,version_id,path,accepted_steps_sha256,step_count,command_count,parent_version_id,atomic_replace,fsync,validated
50,v001_20260804_181612_361234_manual,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\reports\ui_motion_speed_height_version_refactor_20260804_181536\temporary_version_store_v2\height_050mm\versions\v001_20260804_181612_361234_manual,1670678a51594bb891c5384e0983848eb6c41d961d127e564448b33f99b6c7b2,1,2,,True,True,True
50,v002_20260804_181615_785814_manual,C:\robotics_sim\wlr_robot\height_based_obstacle_replay\reports\ui_motion_speed_height_version_refactor_20260804_181536\temporary_version_store_v2\height_050mm\versions\v002_20260804_181615_785814_manual,0649f5b07db27140fcd0b5c570bd46cb4ac8b129cfe254afdb0d615903b9facb,2,4,,True,True,True
