source_version,source_command_cursor,source_step_index,source_event_index,source_expanded_index,source_command,source_event_time_s,compiler_outcome,plan_event_index,compiled_segment_index,plan_global_command_index,planned_dispatch_time_s,actual_dispatch_time_s,dispatch_lateness_s,servo_target_deg,wheel_target_rad_s,atomic_batch_id,atomic_batch_applied_sim_step,atomic_batch_first_physics_step,atomic_batch_motion_start_skew_s,atomic_batch_ack_valid,atomic_batch_ack_error,command_cursor,segment_cursor,macro_state_cursor
v003_20260805_224517_157723_manual,16,4,4,0,servo front_right_hip -0.5,5.733333333328119,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,12,12,13,16.220999999988226,17.49999999999965,1.2790000000114201,"{""front_right_hip"":-0.5}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-12-0e143fb6,2100,2101,0.0,True,,13,12,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,17,4,5,0,servo front_right_hip -2.6,6.133333333327755,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,13,13,14,16.24899999998823,17.633333333332974,1.3843333333447454,"{""front_right_hip"":-2.6}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-13-d82a5726,2116,2117,0.0,True,,14,13,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,18,4,6,0,servo front_right_hip 1.6,6.9333333333270275,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,14,14,15,16.262999999988228,17.699999999999637,1.437000000011409,"{""front_right_hip"":1.6}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-14-bd3ebdac,2124,2125,0.0,True,,15,14,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,19,4,7,0,servo front_right_hip 3.7,7.333333333326664,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,15,15,16,16.290999999988227,17.833333333332963,1.5423333333447342,"{""front_right_hip"":3.7}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-15-564a58bc,2140,2141,0.0,True,,16,15,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,20,4,8,0,wheel stop,10.133333333324117,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,21,5,0,0,servo front_left_hip 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,16,16,17,16.304999999988226,17.96666666666629,1.6616666666780606,"{""front_left_hip"":0.0}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,17,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,22,5,0,1,servo front_left_knee -14.5,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,17,16,18,16.304999999988226,17.96666666666629,1.6616666666780606,"{""front_left_knee"":-14.5}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,18,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,23,5,0,2,servo front_right_hip 3.7,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,18,16,19,16.304999999988226,17.96666666666629,1.6616666666780606,"{""front_right_hip"":3.7}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,19,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,24,5,0,3,servo front_right_knee 24.7,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,19,16,20,16.304999999988226,17.96666666666629,1.6616666666780606,"{""front_right_knee"":24.7}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,20,16,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,25,5,0,4,servo rear_left_hip 28.1,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,20,16,21,16.304999999988226,17.96666666666629,1.6616666666780606,"{""rear_left_hip"":28.1}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-16-1dad28c9,2156,2157,0.0,True,,21,16,RECORDING_FAST_REPLAY
